Rank,Musica,Artista,Lyrics
25,Feather,Sabrina Carpenter ,"
(do-do-do, do-do-do, do-do-do, do-do-do)
(do-do, do-do-do, do-do-do, do-do-do)
oh, not another take


oh, it's like that, i'm your dream come true
when it's on a platter for you
then you pull back when i try to make plans
more than two hours in advance, mm


i slam the door, i hit ignore
i'm saying, ""no, no, no, no more""
i got you blocked, after this, an afterthought
i finally cut you off


i feel so much lighter like a feather with you off my mind (ah)
floatin' through the memories like whatever, you're a waste of time (ah)
your signals are mixed, you act like a bitch
you fit every stereotype, ""send a pic""
i feel so much lighter like a feather with you out my life
with you out my life


(do-do-do, do-do-do, do-do-do, do-do-do)
(do-do, do-do-do, do-do-do, do-do-do)
like a feather, like a feather, like a feather, yeah


it feels so good
not carin' where you are tonight
and it feels so good
not pretendin' to like the wine you like


i slam the door (slam the door), i hit ignore (hit ignore)
i'm saying, ""no, no, no, no more""
i got you blocked, excited to never talk, i
i'm so sorry for your loss


i feel so much lighter like a feather with you off my mind (ah)
floatin' through the memories like whatever, you're a waste of time (ah)
your signals are mixed, you act like a bitch (a bitch)
you fit every stereotype, ""send a pic""
i feel so much lighter like a feather with you out my life
with you out my life


(do-do-do, do-do-do, do-do-do, do-do-do)
ah, mm
(do-do, do-do-do, do-do-do, do-do-do)
like a feather, like a feather, like a feather


you want me? i'm done
you miss me? no duh
where i'm at, i'm up where i'm at
you want me? i'm done (i'm done)
you miss me? no duh (no duh)
where i'm at, i'm up (i'm up) where i'm at


you want me? i'm done
(i feel so much lighter like a feather with you off my mind)
you miss me? no duh
where i'm at, i'm up where i'm at
(like a feather, like a feather, like a feather)
you want me? i'm done
(i feel so much lighter like a feather with you off my mind)
you miss me? no duh
where i'm at, i'm up where i'm at
(like a feather, like a feather, like a feather, yeah)"
26,We Can't Be Friends (Wait For Your Love),Ariana Grande ,"
i didn't think you'd understand me
how could you ever even try?
i don't wanna tiptoe, but i don't wanna hide
but i don't wanna feed this monstrous fire
just wanna let this story die
and i'll be alright


we can't be friends
but i'd like to just pretend
you cling to your papers and pens
wait until you like me again


wait for your love
lo-love, i'll wait for your love


me and my truth, we sit in silence
mm
baby girl, it's just me and you
'cause i don't wanna argue, but i don't wanna bite
my tongue, yeah, i think i'd rather die
you got me misunderstood
but at least i look this good


we can't be friends
but i'd like to just pretend
you cling to your papers and pens
wait until you like me again


wait for your love
lo-love, i'll wait for your love
i'll wait for your love
lo-love, i'll wait for your love


know that you made me
i don't like how you paint me, yet i'm still here hanging
not what you made me
it's somethin' like a daydream
but i feel so seen in the night
so for now, it's only me
and maybe that's all i need


we can't be friends
but i'd like to just pretend
you cling to your papers and pens
wait until you like me again


wait for your love
lo-love, i'll wait for your love
i'll wait for your love
lo-love, i'll wait for your love


i'll wait for your love
i'll wait for your love
i'll wait for your love
i'll wait for your love
i'll wait for your love"
27,Austin,Dasha ,"
we had a plan, move out of this town, baby
west to the sand, it's all we talked about lately
i'd pack the car, bring your guitar and jane for smokin'
first thing at dawn, you'd queue the songs and we'd get goin'
but you weren't home, waited on the porch for ya
sat there alone, all throughout the morn' 'til i
got a hunch down in my gut and snuck around the back
empty cans and i'll be damned, your shit was never packed


did your boots stop workin'? did your truck break down? (truck break down)
did you burn through money? did your ex find out? (ex find out)
where there's a will, then there's a way, and i'm damn sure you lost it
didn't even say goodbye, just wish i knew what caused it
was the whiskey flowin'? were you in a fight? (in a fight)
did the nerves come get you? what's your alibi? (alibi)
i made my way back to la, and that's where you'll be forgotten
in forty years, you'll still be here, drunk washed up in austin


hell of a bluff, you had me believin'
how many months did you plan on leavin'?
what happened? bad habits?
did you go back? go batshit?
i loved you, how tragic, oh-oh


did your boots stop workin'? did your truck break down? (truck break down)
did you burn through money? did your ex find out? (ex find out)
where there's a will, then there's a way, and i'm damn sure you lost it
didn't even say goodbye, just wish i knew what caused it
was the whiskey flowin'? were you in a fight? (in a fight)
did the nerves come get you? what's your alibi? (alibi)
i made my way back to la, and that's where you'll be forgotten
in forty years, you'll still be here, drunk washed up in austin


(did your truck break down? did your ex find out?)"
28,Last Night,Morgan Wallen ,"
last night, we let the liquor talk
i can't remember everything we said, but we said it all
you told me that you wish i was somebody you never met
but, baby, baby, something's tellin' me this ain't over yet


no way it was our last night i kissed your lips
make you grip the sheets with your fingertips
last bottle of jack, we split a fifth
just talkin' 'bout life, goin' sip for sip
yeah, you, you know you love to fight
and i say shit i don't mean
but i'm still gon' wake up wantin' you and me


i know that last night, we let the liquor talk
i can't remember everything we said, but we said it all
you told me that you wish i was somebody you never met
but, baby, baby, something's tellin' me this ain't over yet
no way it was our last night (last night)
no way it was our last night (last night)


no way it was the last night that we break up
i see your tail lights in the dust
you call your mama, i call your bluff
in the middle of the night, pull it right back up
yeah, my, my friends say, ""let her go""
your friends say, ""what the hell?""
i wouldn't trade your kind of love for nothin' else


oh, baby, last night, we let the liquor talk
i can't remember everything we said, but we said it all
you told me that you wish i was somebody you never met
but, baby, baby, something's tellin' me this ain't over yet
no way it was our last night, we said we'd had enough
i can't remember everything we said, but we said too much
i know you packed your shit and slammed the door right before you left
but, baby, baby, something's tellin' me this ain't over yet
no way it was our last night (last night)
no way it was our last night (last night)


i know you said this time you really weren't comin' back again
but, baby, baby, something's tellin' me this ain't over yet
no way it was our last night (last night)
no way it was our last night (last night)"
29,Cowgirls,Morgan Wallen feat. ERNEST ,"
she'll set the field on fire just cuttin' across a pasture
she'll have you fallin' for it all and then leave right after
and she got a cold heart but she got a warm smile
cut from the same cloth, she kinda buck wild
little bit angel, whole lotta outlaw
she's trouble but i'll tell you right now, y'all


long live cowgirls
never gonna settle on down girls
leave you in a lonely ghost town world
where the sun don't rise, rodeo for one night
love you like a mustang
one hand on thеm giddy-up reins
hole in your heart with somе good aim
on a goodbye ride but it's fine 'cause it's kinda my thing
long live cowgirls
yeah, long live cowgirls


i hate that i love the way them kisses taste like whiskey
how they wake up, take on off, and not even miss me
leave this heart broken, holdin' that smokin' gun
i guess that's just the way them wild horses run
let 'em run


long live cowgirls
never gonna settle on down girls
leave you in a lonely ghost town world
where the sun don't rise, rodeo for one night
love you like a mustang
one hand on them giddy-up reins
hole in your heart with some good aim
on a goodbye ride but it's fine 'cause it's kinda my thing
long live cowgirls
yeah, long live cowgirls


come on, cowgirls
don't you wanna take me away?
lay me on down, girl
with the wild kind of lovin' you make
for god's sake


long live cowgirls
never gonna settle on down girls
leave you in a lonely ghost town world
where the sun don't rise, rodeo for one night
love you like a mustang
one hand on them giddy-up reins
hole in your heart with some good aim
on a goodbye ride but it's fine 'cause it's kinda my thing
long live cowgirls
yeah, long live cowgirls


long live cowgirls
yeah, long live cowgirls"
30,Pink Skies,Zach Bryan ,"
the kids are in town for a funeral
so pack the car and dry your eyes
i know they got plenty of young blood left in 'em
and plenty nights under pink skies you taught 'em to enjoy


so clean the house, clear the drawers, mop the floors, stand tall
like no one's ever been here before or at all
and don't you mention all the inches that are scraped on the doorframe
we all know you tiptoed up to 4'1"" back in '08


if you could see 'em now, you'd be proud
but you'd think they's yuppiеs
your funeral was beautiful
i bet god hеard you comin'


the kids are in town for a funeral
and the grass all smells the same as the day you broke your arm swingin'
on that kid out on the river
you bailed him out, never said a thing about jesus or the way he's livin'


if you could see 'em now, you'd be proud
but you'd think they's yuppies
your funeral was beautiful
i bet god heard you comin'


(strum it)


if you could see 'em now, you'd be proud
but you'd think they's yuppies
your funeral was beautiful
i bet god heard you comin'


the kids are in town for a funeral
so pack the car and dry your eyes
i know they got plenty of young blood left in 'em
and plenty nights under pink skies you taught 'em to enjoy"
31,Thinkin' Bout Me,Morgan Wallen ,"
don't know where you at, don't know where you've been
don't know nothin' 'bout that boy you're into
don't feel bad for you but i feel bad for him
and all the hell you gon' be puttin' him through
probably tell him we're a burnt out flame
probably tell him that i ain't been on your mind
how i ain't nothin' but a long gone thing
you can cuss my name, but baby, don't you lie


when you're tasting what he's drinking, are you thinkin' 'bout me?
when you're ridin' where he's drivin', are you missin' my street?
every time you close your eyes, tell me, who do you see?
when you're tastin' what he's drinkin', are you thinkin' 'bout me?
comin' over tonight, wish that truck in your drive was mine
just like you know it's supposed to be
when you're up in his bed, am i up in your head?
makin' you crazy, tell me, baby, are you thinkin' 'bout me?
are you thinkin' 'bout, are you thinkin' 'bout
when you're tastin' what he's drinkin', are you thinkin' 'bout me?


do you hide your phone? did you change my name?
when he wants to go to our go-to place
do you tell him you can't? then go out of your way
to be somewhere, any damn where i ain't


when you're tastin' what he's drinkin', are you thinkin' 'bout me?
when you're ridin' where he's drivin', are you missin' my street?
every time you close your eyes, tell me, who do you see?
when you're tastin' what he's drinkin', are you thinkin' 'bout me?
comin' over tonight, wish that truck in your drive was mine
just like you know it's supposed to be
when you're up in his bed, am i up in your head?
makin' you crazy, tell me, baby, are you thinkin' 'bout me?
are you thinkin' 'bout, are you thinkin' 'bout
when you're tastin' what he's drinkin', are you thinkin' 'bout me?


don't know where you at
but girl, i know where you oughta be


when you're tastin' what he's drinkin', are you thinkin' 'bout me?
when you're ridin' where he's drivin', are you missing my street?
every time you close your eyes, tell me, who do you see?
when you're tastin' what he's drinkin', are you thinkin' 'bout me?
comin' over tonight, wish that truck in your drive was mine
just like you know it's supposed to be
when you're up in his bed, am i up in your head?
makin' you crazy, tell me, baby, are you thinkin' 'bout me?
yeah, are you thinkin' 'bout me?
are you thinkin' 'bout me?"
32,Texas Hold 'Em,Beyonce ,"
this ain't texas (woo)
ain't no hold 'em (hey)
so lay your cards down, down, down, down
so park your lexus (woo)
and throw your keys up (hey)
stick around, 'round, 'round, 'round, 'round (stick around)
and i'll be damned if i can't slow-dance with you
come pour some sugar on me, honey, too
it's a real-life boogie and a real-life hoedown
don't be a bitch, come take it to the floor now, woo, ha (woo)


there's a tornado (there's a tornado)
in my city (in my city)
hit the basement (hit the basement)
that shit ain't pretty (that shit ain't pretty)
rugged whiskey (rugged whiskey)
'cause we survivin' ('cause we survivin')
off red-cup kisses, sweet redemption, passin' time, yeah

ooh, one step to the right
we heading to the dive bar we always thought was nice
ooh, run me to the left
then spin me in the middle, boy, i can't read your mind


this ain't texas (woo)
ain't no hold 'em (hey)
so lay your cards down, down, down, down
so park your lexus (woo)
and throw your keys up (hey)
and stick around, 'round, 'round, 'round, 'round (stick around)
and i'll be damned if i can't slow-dance with you
come pour some sugar on me, honey, too
it's a real-life boogie and a real-life hoedown
don't be a bitch, come take it to the floor now, woo
and i'll be damned if i cannot dance with you
come pour some liquor on me, honey, too
it's a real-life boogie and a real-life hoedown
don't be a bitch, come take it to the floor now, woo


woo-hoo
woo-hoo
woo-hoo


there's a heatwave (there's a heatwave)
comin' at us (comin' at us)
too hot to think straight (too hot to think straight)
too cold to panic (cold to panic)
all of the problems
just feel dramatic (just feel dramatic)
and now we're runnin' to the first bar that we find, yeah


ooh, one step to the right
we heading to the dive bar we always thought was nice
ooh, you run to the left
just work me in the middle, boy, i can't read your mind


this ain't texas (woo)
ain't no hold 'em (hey)
so lay your cards down, down, down, down, oh
so park your lexus (hey)
and throw your keys up (hey)
and stick around, 'round, 'round, 'round, 'round (stick around)
and i'll be damned if i cannot dance with you
come pour some sugar on me, honey, too
it's a real-life boogie and a real-life hoedown
don't be a bitch, come take it to the floor now (woo)
and i'll be damned if i cannot dance with you
come pour some liquor on me, honey, too
it's a real-life boogie and a real-life hoedown
don't be a—, come take it to the floor now, ooh


take it to the floor now, ooh
hoops, spurs, boots
to the floor now, ooh
tuck, back, oops (ooh, ooh, ooh)
shoot
come take it to the floor now, ooh
and i'll be damned if i cannot dance with you
baby, pour that sugar and liquor on me, too
furs, spurs, boots
solargenic, photogenic, shoot"
33,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift ,"
(is it? is it? is it? is it? is it?)


once the flight had flown (uh-huh)
with the wilt of the rose (uh-huh)
i slept all alone (uh-huh)
you still wouldn't go


let's fast forward to three hundred takeout coffees later
i see your profile and your smile on unsuspecting waiters
you dream of my mouth before it called you a lying traitor
you search in every maiden's bed for somethin' greater, baby


was it over when she laid down on your couch?
was it over when he unbuttoned my blouse?
""come here,"" i whispered in your ear
in your dream as you passеd out, baby
was it over then? and is it over now?


(is it? is it? is it?)


whеn you lost control (uh-huh)
red blood, white snow (uh-huh)
blue dress on a boat (uh-huh)
your new girl is my clone


and did you think i didn't see you?
there were flashin' lights
at least i had the decency
to keep my nights out of sight
only rumors 'bout my hips and thighs
and my whispered sighs
oh, lord, i think about jumpin'
off of very tall somethings
just to see you come runnin'
and say the one thing i've been wanting, but no


let's fast forward to three hundred awkward blind dates later (oh)
if she's got blue eyes, i will surmise that you'll probably date her (oh, no)
you dream of my mouth before it called you a lying traitor (oh)
you search in every model's bed for somethin' greater, baby


was it over when she laid down on your couch?
was it over when he unbuttoned my blouse?
""come here,"" i whispered in your ear
in your dream as you passed out, baby
was it over then? and is it over now?

uh-huh
(is it? is it? is it?)
uh-huh
(is it? is it?)


think i didn't see you?
there were flashin' lights
at least i had the decency
to keep my nights out of sight
only rumors 'bout my hips and thighs
and my whispered sighs
oh, lord, i think about jumpin'
off of very tall somethings
just to see you come runnin' (runnin')
and say the one thing i've been wanting, but no


(flashin' lights; oh, lord; oh)
let's fast forward to three hundred takeout coffees later (oh)
(flashin' lights) i was hoping you'd be there
and say the one thing (oh, lord)
i've been wanting (oh, lord)
but no
(was it? was it? was it? was it? was it? was it?)"
34,Miles On It,Marshmello & Kane Brown ,"
new truck, big lift
old roads, we've been
tearin' up since way back when
but these wheels are innocent
new hitch, new seats, no history
and you just can't fake that
so, let's change that


girl, let's go put some miles on it
back of the chevy with the engine runnin'
just you and me in a truck bed wide like a california king
we could break it in if you know what i mean
put some miles on it
back of the chevy with the engine runnin'
just you and me in a truck bed wide like a california king
wе could break it in if you know what i mean
put some milеs on it
we could break it in if you know what i mean


all night, no brakes
all tail, no gate
ain't gotta try too hard
my baby's push to start
all torque, full speed
off-road, on me
zero to a hundred fast
my foot ain't touch the gas
i said, ""hey, baby, slow it down, let's make it last""
you said, ""where's the fun in that?""


yeah, let's go, put some miles on it
back of the chevy with the engine runnin'
just you and me in a truck bed wide like a california king
we could break it in if you know what i mean
put some miles on it
we could break it in if you know what i mean
put some miles on it
we could break it in if you know what i mean


mile after mile after mile after mile
turn up the night like that radio dial
shoulder to shoulder where nobody knows
know where we're goin', we ain't goin' home


we're puttin' miles on it
back of the chevy with the engine runnin'
just you and me in a truck bed wide like a california king
we could break it in if you know what i mean
put some miles on it
back of the chevy with the engine runnin'
just you and me in a truck bed wide like a california king
we could break it in if you know what i mean
put some miles on it
we could break it in if you know what i mean
put some miles on it
we could break it in if you know what i mean
put some miles on it"
35,I Can Do It With A Broken Heart,Taylor Swift ,"
i can read your mind
""she's having the time of her life""
there in her glittering prime
the lights refract sequin stars off her silhouette every night
i can show you lies
(one, two, three, four)


'cause i'm a real tough kid
i can handle my shit
they said, ""babe, you gotta fake it 'til you make it"" and i did
lights, camera, bitch, smile
even when you wanna die
he said he'd love me all his life
but that life was too short
breaking down, i hit the floor
all the piеces of me shatterеd as the crowd was chanting, ""more""
i was grinnin' like i'm winnin'
i was hittin' my marks
'cause i can do it with a broken heart
(one, two, three, four)

i'm so depressed, i act like it's my birthday every day
i'm so obsessed with him, but he avoids me like the plague
i cry a lot, but i am so productive, it's an art
you know you're good when you can even do it with a broken heart


i can hold my breath
i've been doin' it since he left
i keep finding his things in drawers
crucial evidence i didn't imagine the whole thing
i'm sure i can pass this test
(one, two, three, four)


'cause i'm a real tough kid
i can handle my shit
they said, ""babe, you gotta fake it 'til you make it"" and i did
lights, camera, bitch, smile
in stilettos for miles
he said he'd love me for all time
but that time was quite short
breaking down, i hit the floor
all the pieces of me shattered as the crowd was chanting, ""more""
i was grinnin' like i'm winnin'
i was hittin' my marks
'cause i can do it with a broken heart
(one, two, three, four)


i'm so depressed, i act like it's my birthday every day
i'm so obsessed with him, but he avoids me (he avoids me), like the plague
i cry a lot, but i am so productive, it's an art
you know you're good when you can even do it with a broken heart


you know you're good when you can even do it with a broken heart
you know you're good
and i'm good
'cause i'm miserable (haha)
and nobody even knows
ah, try and come for my job"
36,Wild Ones,Jessie Murph & Jelly Roll ,"
hm-mm, yeah, yeah


got me wide, wide open
got a .45 on him
and he pushin' 'bout a 102
always smokin' somethin'
he ain't worried 'bout nothin'
'cause he ain't got nothing to lose


i got a thing for the hard liquor on ice
short days and long nights
marlboros out the window
middle finger to the sky
say you wanna get dangerous
now you're speakin' my language
i forgot what your name is
so, i'ma call you mine (mine)
i'ma call you mine (mine)


got me wide, wide open
got a .45 on him
and he pushin' 'bout a 102
always smokin' somethin'
he ain't worried 'bout nothin'
'cause he ain't got nothing to lose


i got a thing for the wild ones (wild, wild, wild)
i got a thing for the wild ones, it's like he knew
i got a thing for the wild ones (wild, wild, wild)
i got a thing for the wild ones, they like me too


(yeah) i'm attracted to things that are really crazy
asking me how i've been feelin' lately
coming for mine, then it's do or die
i won't let it slide, no stealin' bases
no back-and-forth bargainin' (now)
no bitchin' and arguin'
a whole lotta problems, livin' in gotham
and bunnie's my harley quinn (my harley quinn)
was raised in the darkness, forgive me, i'm guarded (guarded)
i have no shame, i'm in love with the heartless
the police will never take us alive
and cowgirls don't cry


got me wide, wide open
got a .45 on him
and he pushin' 'bout a 102
always smokin' somethin'
he ain't worried 'bout nothin'
'cause he ain't got nothing to lose


i got a thing for the wild ones (wild, wild, wild)
i got a thing for the wild ones, it's like he knew
i got a thing for the wild ones (wild, wild, wild)
i got a thing for the wild ones, they like me too


yeah (wild, wild, wild)
a thing for the wild ones (it's like he knew)
i got a thing for the wild ones (wild, wild, wild)
got a thing for the wild ones (they like me too, hm)"
37,Ain't No Love In Oklahoma,Luke Combs ,"
i keep chasing that same old devil
down the same old dead-end highway
riding that storm running through my veins
like a shot down tailspun airplane
scared of nothing and i'm scared to death
i can't breathe and i catch my breath
but i keep chasing that same old devil
down the same old dead-end highway


ain't no love in oklahoma
just the whistle of a long black train
you'll know when it's coming for ya
riding in on the wind and rain


i got saved in the same red river
the same red river tryna drown me
it ain't knocking me down, i'm standing my ground
with the whole world falling all around me
i keep running, but i'm standing still
pray for peace, but i need thе thrill
so i keep chasing that same old devil
down the samе old dead-end highway


ain't no love in oklahoma
just the whistle of a long black train
you'll know when it's coming for ya
riding in on the wind and rain


ain't no love in oklahoma
just the whistle of a long black train
you'll know when it's coming for ya
riding in on the wind and rain
ain't no love in oklahoma
just the whistle of a long black train
you'll know when it's coming for ya
riding in on the wind and rain"
38,Carnival,¥$ feat. Ye & Ty Dolla $ign & Rich The Kid & Playboi Carti ,"
go, go, go, go
head so good, she a honor roll
she ride the dick like a carnival
i done did the impossible
go, go, go, go
head so good, she a honor roll
she ride the dick like a carnival
i done did the impossible
go
ha, ha, ha, schyeah


way too rich to drive a rove'
made a milli' off the stove
she like to put it in her nose
pretty bitch with white toes
i done put on all the bros
i done fucked her in the rolls (hahahaha)
i done pulled up in the ghost
i done reachеd all my goals
yeah, yeah, pull up with yeezy and dolla $ign
i'm all about business, i'm mindin' minе
pull up in the trenches like columbine
pull up with the rocket like numbanine
i don't want your hoes
young nigga reach all the goals
let her suck the dick, said she was a pro
if she scrape her teeth, i'ma tell her to go


go, go, go, go
head so good, she a honor roll
she'll ride the dick like carnival
i done did the impossible
go, go, go, go (ha, ha)
head so good, she a honor roll
she'll ride the dick like carnival
i done did the impossible (dolla $ign)


she ride it like six flags
we turn up to the max
i whop her from the back
i gave that bitch a cramp
they love me out in france
in the hood, i'm good, i'm stamped
every day, i dress all black
for a show, nine hundred racks
middle east call, double that
on my neck a bubble bath
on my wrist, new cadillac
cut her off, don't want her back
little bitch, i'm a superstar
these hoes wanna fuck my car
my dog put a nigga in park
gotta watch out for the narcs, ayy


this that game of thrones, yeezy, not the clones
elon, where my rocket ship? it's time to go home
they served us the porn since the day we was born
anybody pissed off, gotta make 'em drink the urine
now i'm ye-kelly, bitch, now i'm bill cosby, bitch
now, i'm puff daddy rich, that's me too me rich
why she say she sucked my dick? then she say she ain't sucked my dick?
she gon' take it up the ass like a ventriloquist
i mean since taylor swift, since i had the rollie on the wrist
i'm the new jesus, bitch, i turn water to cris'
this for what they did to chris, they can't do shit with this
got my kids in a fake school, we ain't—

go, go, go, go
head so good, she a honor roll
she'll ride the dick like carnival (schyeah)
i done did the impossible (schyeah)
go, go, go, go
head so good, she a honor roll
she'll ride the dick like carnival
i done did the impossible


she ride the dick like a carnival
bend her over, havin' flashbacks, she gon' eat me up like a carnivore
it's the way i pop my shit, the hoes not ready, i'm goin' barnacles
movin', i feel like i'm jason, can't get arrested, i make 'em stumble
she want a private section, roll off them x's when i'm on melrose
she tatted my name on her titties, yeah, you can bust it, but it's a borrow
hol' up, sittin' back, countin' up dubs, i was raised in the borough
she wanna taste it, checkin' the swag today, ho, come back tomorrow
if you know what i know, hide your ho
just off the facts that we havin' them hunchos
runnin' around in the lobby, i know that they tired of me havin' like ten hoes
she need some cresidentials just to be presidential, hol' up, hol' up
i'm 'bout to buy her some dentures, make that ho eat me for dinner, woah, woah
pain all in my eyes, i can't see, uh
i'm 'bout to jump out my body, i'm ready to leap, uh
i'm 'bout to nut on her body and tell the ho leave, 'kay
fifty mil' stuffed in the bag, tell the whole gang eat, uh
it's ye and barti, tell me who fuckin' with we?
i'm hot like tha carter, i'm feelin' that ho in my sleep
dollar signs all in my dreams, i don't never see z's, woah (woah-woah)
the swag cover my body like it's a disease, woah (woah-woah)


woah, woah, woah
woah, woah, woah


go, go, go, go
head so good, she a honor roll
she ride the dick like a carnival
i done did the impossible
go, go, go, go
head so good, she a honor roll
she ride the dick like a carnival
i done did the impossible


go, go, go, go
go, go, go, go
go, go, go, go
go, go, go, go"
39,Houdini,Eminem ,"
hey, em, it's paul
uh, i was listening to the album
good fucking luck, you're on your own


guess who's back, back again?
shady's back, tell a friend
guess who's back, guess who's back
guess who's back, guess who's back
guess who's back, guess who's back
guess who's back
(da-da-da, da, da, da, da, da, da)
(da-da-da, da, da, da, da)


well, look what the stork brung
(what?) little baby devil with the forked tongue
and it's stickin' out, yeah, like a sore thumb
(bleah) with a forehead that it grew horns from
still a white jerk
pullin' up in a chrysler to the cypher with the vic's, percs and a bud light shirt
lyrical technician, an electrician y'all light work
and i don't gotta play pretend, it's you i make believe
and you know i'm here to stay 'cause me
if i was to ever take a leave, it would be aspirin to break a feve
if i was to ask for megan thee stallion if she would collab with me
would i really have a shot at a feat? (ha!)
i don't know, but i'm glad to be back, like


abra-abracadabra
(and for my last trick) i'm 'bout to reach in my bag, bruh
abra-abracadabra
(and for my last trick, poof) just like that and i'm back, bruh


now back in the days of old me
(when) right around the time i became a dope fiend
ate some codeine, as a way of coping taste of opiates, case of o.e
​turned me into smiley face emoji
my shit may not be age appropri—
ate but i will hit an eight year old in the face with a participation trophy
'cause i have zero doubts
that this whole world's 'bout to turn into some girl scouts
that censorship bureau's out
to shut me down so when i started this verse
it did start off light-hearted at first
but it feels like i'm targeted
mind bogglin' how my profit has skyrocketed, look what i pocketed
yeah, the shit is just like y'all have been light joggin' and i've been running at full speed
and that's why i'm ahead like my noggin, and i'm the fight y'all get in
when you debate who the best but ops i'm white-chalkin' when
i step up to that mic, cock it then
""oh my god, it's him... not again!""


abra-abracadabra
(and for my last trick) i'm 'bout to reach in my bag, bruh
abra-abracadabra
(and for my last trick, poof) just like that and i'm back, bruh


sometimes i wonder what the old me'd say
(if what?) if he could see the way shit is today
(look at this shit, man) he'd probably say that everything is gay
(like happy!) what's my name, what's my name?


so, how many little kids still wanna act like me?
i'm a bigger prick than cacti be
and that's why these words sting, just like you were being attacked by bees
in the coupe leaning back my seat
bumpin' r. kelly's favorite group, the black guy pee's
in my air max 90's
white t's walkin' parental advisory
my transgender cat's siamese
identifies as black, but acts chinese
like a motherfuckin' hacky sack i treat the whole world, 'cause i got it at my feet
how can i explain to you?
that even myself, i'm a danger too
i hop on tracks like a kangaroo
and say a few things or two to anger you
but fuck that, if i think that shit, i'ma say that shit
cancel me what? okay, that's it, go ahead, paul, quit
snake-ass prick, you male crossdresser, fake-ass bitch
and i'll probably get shit for that
(watch) but you can all suck my dick, in fact
fuck them, fuck dre, fuck jimmy, fuck me, fuck you, fuck my own kids they're brats (fuck 'em)
they can screw-off, them and you all
you too, paul, got two balls, big as rupaul's, what you thought you saw ain't what you saw
'cause you're never gon' see me
caught sleepin' and see the kidnappin' never did happen
like sherri papini, harry houdini, i vanish into the thin air as i'm leaving, like


abra-abracadabra
(and for my last trick) i'm 'bout to reach in my bag, bruh
abra-abracadabra
(and for my last trick, poof) just like that and i'm back, bruh"
40,Wanna Be,GloRilla feat. Megan Thee Stallion ,"
glorilla
real hot girl shit
acec, turn that heat up, nigga
on the gang, gang, on the gang, gang
ah


he, he, he, he in love with glo
never got the cookie, but got my name tatted (ayy)
killer where? don't know who he killed, i heard that mane ratted (damn)
never full, when it's time to eat, i be his main platter
nyc, new york fashion week, tommy hil' jacket (huh)
tell these hoes to stay dangerous 'cause nere one of thеy niggas safe (nah)
my nigga say he faithful, i still got a few hoеs just in case (got too)
i can't lie, i used to simp so hard but them my old ways
it's three hundred sixty five days in a year, couldn't play with me on none of them days (woo)
fuckin' ass freaky nigga (ugh)
don't even wear no condoms (freaky ass)
don't know how to treat a lady (like the fuck?)
i oughta smack your mama (bitch)
pussy wet, good ass neck (that's me), so i talk how i wanna
save a nigga, who, bitch? do i look like fuckin' superwoman?
on the gang


he don't wanna be saved, don't save him
that is not my nigga, don't claim him
'bout twenty missed calls, he faded
white boy wasted, channing tatum
he don't wanna be kept, don't keep him
he don't want the baby, then, bitch, don't keep it, ho
i don't get left, i'm a leaver (real hot girl shit, ayy)
hoes love me like justin bieber


i'm the b-a-d-d-e-s-t (ah)
same hoes hatin' used to wanna be besties (besties)
you can get your wig turned like effie (like effie)
i don't need insurance 'cause a bitch can't wreck me (baow, baow)
ready or not, i'm comin' like freddy (like freddy)
i'm mother, and you know my trick is your daddy (your daddy)
clock that tea, bitch, catch it (bitch, catch it)
you look like a discount me on etsy (ayy)
i'm the female titan, i'm steppin' on bitches
i'm showin' my titties (yeah), i tore up the city (yeah)
a p-i-m-p (yeah), i be hoein' these niggas (yeah)
he run back to me (yeah) 'cause you borin' a nigga (borin' a nigga)
fuck is a layover? i ain't waitin' (i ain't waitin')
i get the bag then i change destinations (yeah)
these niggas be crazy, i don't blame 'em
i'm a dog too, i don't wanna change him (huh)


he don't wanna be saved, don't save him (save him)
that is not my nigga, don't claim him (yeah)
'bout twenty missed calls, he faded (yeah, yeah)
white boy wasted, channing tatum (huh, channing tatum)
i don't wanna be saved, don't save me (don't save me)
you for everybody, nigga, don't claim me (don't claim me)
hate a nigga tryna tell me what to do
you ain't my daddy, i'm not your baby (not your baby)
he don't wanna be saved, don't save him
that is not my nigga, don't claim him
'bout twenty missed calls, he faded
white boy wasted, channing tatum
he don't wanna be kept, don't keep him
he don't want the baby, then bitch, don't keep it, ho
i don't get left, i'm a leaver
hoes love me like justin bieber (ah)


go meg
go meg (baow)
go meg (baow)
go meg (baow)
go meg (baow)
go meg (baow)
go meg (ah)
get 'em glo (ayy)
get 'em glo (huh)
get 'em glo (woo)
get 'em glo (hey)
get 'em glo (huh)
get 'em glo (woo, yeah)
on the gang, gang
fuck you mean? y'all know what the fuck goin' on, huh, huh
on the gang, gang, on the gang, gang"
